FID;gid;wpl_id;gem_id;prov_id;pc6;woonplaats;wplnaam_un;gemeente;provincie;vlakken
12902;440864;1070;0014;20;9713GL;Groningen;Groningen;Groningen;Groningen;2
12903;440865;1070;0014;20;9713GM;Groningen;Groningen;Groningen;Groningen;2
12904;440866;1070;0014;20;9713GN;Groningen;Groningen;Groningen;Groningen;1
12905;440867;1070;0014;20;9713GP;Groningen;Groningen;Groningen;Groningen;1
12906;440868;1070;0014;20;9713GR;Groningen;Groningen;Groningen;Groningen;1
12907;440869;1070;0014;20;9713GS;Groningen;Groningen;Groningen;Groningen;1
12908;440870;1070;0014;20;9713GT;Groningen;Groningen;Groningen;Groningen;2
12909;440871;1070;0014;20;9713GV;Groningen;Groningen;Groningen;Groningen;2
12910;440902;1070;0014;20;9713JM;Groningen;Groningen;Groningen;Groningen;3
12914;440875;1070;0014;20;9713HA;Groningen;Groningen;Groningen;Groningen;1
12915;440876;1070;0014;20;9713HB;Groningen;Groningen;Groningen;Groningen;1
12916;440877;1070;0014;20;9713HC;Groningen;Groningen;Groningen;Groningen;1
12917;440878;1070;0014;20;9713HD;Groningen;Groningen;Groningen;Groningen;1
12918;440888;1070;0014;20;9713HS;Groningen;Groningen;Groningen;Groningen;2
12919;440879;1070;0014;20;9713HE;Groningen;Groningen;Groningen;Groningen;1
12920;440880;1070;0014;20;9713HG;Groningen;Groningen;Groningen;Groningen;1
12921;440881;1070;0014;20;9713HH;Groningen;Groningen;Groningen;Groningen;1
12922;440882;1070;0014;20;9713HJ;Groningen;Groningen;Groningen;Groningen;1
12923;440883;1070;0014;20;9713HK;Groningen;Groningen;Groningen;Groningen;1
12924;440884;1070;0014;20;9713HL;Groningen;Groningen;Groningen;Groningen;1
12925;440885;1070;0014;20;9713HM;Groningen;Groningen;Groningen;Groningen;1
12926;440886;1070;0014;20;9713HN;Groningen;Groningen;Groningen;Groningen;1
12927;440890;1070;0014;20;9713HV;Groningen;Groningen;Groningen;Groningen;2
12928;440891;1070;0014;20;9713HW;Groningen;Groningen;Groningen;Groningen;1
12929;440892;1070;0014;20;9713JA;Groningen;Groningen;Groningen;Groningen;1
12930;440893;1070;0014;20;9713JB;Groningen;Groningen;Groningen;Groningen;1
12931;440894;1070;0014;20;9713JC;Groningen;Groningen;Groningen;Groningen;1
12932;440895;1070;0014;20;9713JD;Groningen;Groningen;Groningen;Groningen;1
12933;440896;1070;0014;20;9713JE;Groningen;Groningen;Groningen;Groningen;1
12934;440897;1070;0014;20;9713JG;Groningen;Groningen;Groningen;Groningen;1
